title,region,block,community,area,toward,type,rent,time
整租·芙蓉里 1室1厅 南,雨花区,汽车南站,芙蓉里,40.00㎡,南,1室1厅2卫 中楼层（7层）,1100元/月,1天前维护
整租·金鹰城圣爵菲斯 2室2厅 南,开福区,中南汽车世界,金鹰城圣爵菲斯,121.00㎡,南,2室2厅2卫 高楼层（11层）,2500元/月,10天前维护
整租·紫晶城二期 2室2厅 南,长沙县区,中南汽车世界,紫晶城二期,86.00㎡,南,2室2厅1卫 低楼层（33层）,1600元/月,13天前维护
整租·柠檬丽都 3室2厅 南/北,天心区,新开铺,柠檬丽都,115.60㎡,南 北,3室2厅2卫 中楼层（17层）,2950元/月,8天前维护
整租·恒大雅苑 3室2厅 西北,开福区,广电,恒大雅苑,111.00㎡,西北,3室2厅2卫 高楼层（32层）,2900元/月,13天前维护
整租·芙蓉万国城MOMA 2室2厅 南,芙蓉区,汽车东站,芙蓉万国城MOMA,89.00㎡,南,2室2厅1卫 高楼层（31层）,1000元/月,6天前维护
整租·华润凤凰城二期 4室2厅 南,长沙县区,开元路,华润凤凰城二期,143.00㎡,南,4室2厅2卫 中楼层（34层）,3000元/月,6天前维护
合租·长远华樟名府 5居室 南卧,雨花区,尚东,长远华樟名府,25.00㎡,南,5室1厅2卫 中楼层（23层）,1100元/月,11天前维护
整租·龙湖紫宸 3室2厅 南/北,望城区,金星北,龙湖紫宸,122.44㎡,南 北,3室2厅2卫 高楼层（34层）,1500元/月,8天前维护
整租·菁华源 3室2厅 南/北,雨花区,赤岗冲,菁华源,143.00㎡,南 北,3室2厅1卫 中楼层（30层）,2600元/月,1天前维护
整租·幸福庄园 5室2厅 南/北,天心区,暮云,幸福庄园,125.13㎡,南 北,5室2厅2卫 中楼层（28层）,2300元/月,5天前维护
合租·麓阳和景雅苑 5居室 东南卧,岳麓区,汽车西站,麓阳和景雅苑,20.00㎡,东南,5室0厅3卫 高楼层（18层）,1008元/月,20天前维护
整租·佳兆业水岸新都西区 3室2厅 南/北,雨花区,跳马,佳兆业水岸新都西区,137.00㎡,南 北,3室2厅2卫 低楼层（9层）,1000元/月,2天前维护
整租·欧亚达国际广场 1室1厅 东南,雨花区,树木岭,欧亚达国际广场,28.00㎡,东南,1室1厅1卫 中楼层（28层）,1500元/月,2天前维护
整租·东岸城邦 2室1厅 南/北,芙蓉区,汽车东站,东岸城邦,74.50㎡,南 北,2室1厅1卫 高楼层（27层）,1500元/月,7天前维护
合租·都市阳光大厦 5居室 东南卧,雨花区,东塘,都市阳光大厦,25.00㎡,东南,5室0厅3卫 高楼层（29层）,1258元/月,3天前维护
合租·保利大都汇 5居室 东南卧,雨花区,高桥,保利大都汇,15.00㎡,东南,5室1厅2卫 高楼层（34层）,998元/月,1个月前维护
整租·壹号公馆 1室1厅 南,芙蓉区,松桂园,壹号公馆,44.14㎡,南,1室1厅1卫 中楼层（32层）,2800元/月,10天前维护
整租·钱隆学府 3室2厅 南,天心区,省政府,钱隆学府,118.00㎡,南,3室2厅2卫 高楼层（17层）,2500元/月,2天前维护
整租·北辰三角洲奥城E3区 1室1厅 南,开福区,北辰三角洲,北辰三角洲奥城E3区,56.00㎡,南,1室1厅1卫 中楼层（48层）,2600元/月,7天前维护
整租·英郡年华 3室2厅 南,雨花区,树木岭,英郡年华,122.00㎡,南,3室2厅2卫 高楼层（17层）,2600元/月,3天前维护
整租·乐和城英尚国际 1室1厅 南,芙蓉区,松桂园,乐和城英尚国际,70.00㎡,南,1室1厅1卫 低楼层（29层）,2900元/月,2天前维护
合租·麓阳和景雅苑 4居室 南卧,岳麓区,汽车西站,麓阳和景雅苑,20.00㎡,南,4室0厅3卫 中楼层（20层）,1058元/月,3天前维护
整租·华隆公寓 4室2厅 南/北,雨花区,高桥,华隆公寓,169.06㎡,南 北,4室2厅2卫 低楼层（7层）,3800元/月,15天前维护
整租·乐和城英尚国际 1室1厅 南,芙蓉区,松桂园,乐和城英尚国际,36.30㎡,南,1室1厅1卫 低楼层（29层）,2200元/月,2天前维护
整租·碧桂园星荟 1室0厅 LOFT 南/北,长沙县区,星沙其他,碧桂园星荟,27.80㎡,南 北,1室0厅1卫 高楼层（21层）,800元/月,10天前维护
整租·怡海星城 2室1厅 南/北,天心区,暮云,怡海星城,85.00㎡,南 北,2室1厅1卫 高楼层（19层）,1800元/月,7天前维护
整租·丽发新城 2室1厅 南,雨花区,跳马,丽发新城,78.27㎡,南,2室1厅1卫 高楼层（20层）,800元/月,15天前维护
整租·汇景发展环球中心 1室1厅 南,天心区,书院路,汇景发展环球中心,56.00㎡,南,1室1厅1卫 中楼层（50层）,3500元/月,3天前维护
整租·启迪协信中心 1室1厅 东,岳麓区,观沙岭,启迪协信中心,46.00㎡,东,1室1厅1卫 高楼层（44层）,4000元/月,7天前维护
整租·兰亭湾畔二期三期 3室2厅 南,岳麓区,洋湖垸,兰亭湾畔二期三期,126.00㎡,南,3室2厅2卫 高楼层（32层）,3500元/月,1天前维护
整租·阳光丽城 3室2厅 南,岳麓区,观沙岭,阳光丽城,96.00㎡,南,3室2厅1卫 低楼层（27层）,2200元/月,1天前维护
整租·珠江东方明珠 3室2厅 南,望城区,金星北,珠江东方明珠,115.00㎡,南,3室2厅2卫 中楼层（32层）,2600元/月,6天前维护
整租·新城和樾 1室1厅 东,开福区,金霞,新城和樾,35.00㎡,东,1室1厅1卫 中楼层（31层）,1500元/月,4天前维护
合租·人民新村社区 3居室 南卧,芙蓉区,火车站,人民新村社区,22.00㎡,南,3室1厅1卫 中楼层（6层）,999元/月,12天前维护
整租·天悦国际 1室1厅 南/北,岳麓区,枫林三路,天悦国际,45.00㎡,南 北,1室1厅1卫 中楼层（30层）,2000元/月,10天前维护
整租·融圣国际 1室1厅 东南,雨花区,桂花村,融圣国际,50.00㎡,东南,1室1厅1卫 中楼层（29层）,1600元/月,4天前维护
整租·长大彩虹都 3室2厅 南,天心区,铁道学院,长大彩虹都,90.00㎡,南,3室2厅1卫 高楼层（27层）,2500元/月,8天前维护
整租·建发央玺 1室1厅 南,雨花区,雨花亭,建发央玺,360.00㎡,南,1室1厅1卫 低楼层（20层）,14500元/月,10天前维护
整租·拿铁空间 1室1厅 南,雨花区,雨花亭,拿铁空间,30.59㎡,南,1室1厅1卫 低楼层（27层）,1500元/月,13天前维护
整租·碧桂园星荟 1室0厅 南,长沙县区,星沙其他,碧桂园星荟,27.80㎡,南,1室0厅1卫 低楼层（25层）,1200元/月,7天前维护
整租·碧桂园星荟 1室0厅 南,长沙县区,星沙其他,碧桂园星荟,27.80㎡,南,1室0厅1卫 中楼层（25层）,1200元/月,7天前维护
整租·正荣悦玺 1室0厅 南,雨花区,高桥,正荣悦玺,44.00㎡,南,1室0厅1卫 中楼层（23层）,1800元/月,10天前维护
整租·长沙恒大城 4室2厅 南,雨花区,万家丽南路,长沙恒大城,147.00㎡,南,4室2厅2卫 低楼层（18层）,2500元/月,6天前维护
整租·澳海谷山府 4室2厅 东南/西北,望城区,金星北,澳海谷山府,140.83㎡,东南 西北,4室2厅2卫 中楼层（11层）,1000元/月,4天前维护
整租·新城和樾 1室1厅 南,开福区,金霞,新城和樾,36.00㎡,南,1室1厅1卫 中楼层（31层）,1500元/月,5天前维护
整租·世纪城鸿江苑 2室1厅 南,开福区,湘江世纪城,世纪城鸿江苑,95.00㎡,南,2室1厅1卫 中楼层（33层）,2600元/月,4天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,28.00㎡,东南,1室1厅1卫 中楼层（5层）,1000元/月,3天前维护
整租·颐美会现代城 1室1厅 南,芙蓉区,浏城桥,颐美会现代城,45.00㎡,南,1室1厅1卫 低楼层（29层）,2600元/月,1天前维护
整租·地泰人民公馆 2室1厅 南,雨花区,东塘,地泰人民公馆,76.00㎡,南,2室1厅1卫 高楼层（33层）,3100元/月,14天前维护
整租·锦华时代 1室1厅 东南,芙蓉区,晚报,锦华时代,42.46㎡,东南,1室1厅1卫 中楼层（25层）,1700元/月,9天前维护
整租·蝴蝶谷 2室1厅 东南,长沙县区,开元路,蝴蝶谷,90.00㎡,东南,2室1厅1卫 中楼层（33层）,2158元/月,1天前维护
整租·长沙恒大文化旅游城 2室2厅 东南,岳麓区,岳麓其他,长沙恒大文化旅游城,76.00㎡,东南,2室2厅1卫 高楼层（29层）,2500元/月,7天前维护
合租·长远华樟名府 5居室 南卧,雨花区,尚东,长远华樟名府,28.00㎡,南,5室1厅2卫 中楼层（23层）,1100元/月,11天前维护
整租·凤凰城（三期）紫云府 3室2厅 南,长沙县区,开元路,凤凰城（三期）紫云府,90.00㎡,南,3室2厅1卫 低楼层（34层）,2700元/月,11天前维护
整租·华远华时代 3室2厅 复式 南,开福区,烈士公园,华远华时代,68.00㎡,南,3室2厅2卫 中楼层（55层）,5300元/月,1天前维护
整租·新城和樾 1室1厅 南,开福区,金霞,新城和樾,38.00㎡,南,1室1厅1卫 中楼层（31层）,1300元/月,4天前维护
整租·洋湖和园 3室2厅 南,岳麓区,洋湖垸,洋湖和园,126.00㎡,南,3室2厅2卫 中楼层（28层）,2800元/月,1天前维护
整租·和顺苑 4室2厅 东南/南,雨花区,万家丽南路,和顺苑,160.00㎡,东南 南,4室2厅1卫 中楼层（17层）,1800元/月,2天前维护
整租·荣盛花语城 3室2厅 东南,长沙县区,万家丽北,荣盛花语城,96.25㎡,东南,3室2厅1卫 低楼层（33层）,2300元/月,1天前维护
整租·凯怡茗苑 3室2厅 南/北,天心区,暮云,凯怡茗苑,118.00㎡,南 北,3室2厅1卫 中楼层（21层）,2200元/月,12天前维护
整租·保利香槟国际 3室1厅 南,长沙县区,万家丽北,保利香槟国际,87.38㎡,南,3室1厅1卫 中楼层（31层）,1000元/月,12天前维护
整租·长房云时代 3室2厅 东南/南,岳麓区,雷锋大道,长房云时代,115.00㎡,东南 南,3室2厅2卫 高楼层（32层）,1800元/月,12天前维护
整租·恒大绿洲 3室2厅 南/北,雨花区,武广新城,恒大绿洲,111.79㎡,南 北,3室2厅2卫 中楼层（32层）,3200元/月,6天前维护
整租·旭辉藏郡 3室2厅 南,岳麓区,观沙岭,旭辉藏郡,88.00㎡,南,3室2厅1卫 低楼层（32层）,2200元/月,5天前维护
整租·星城世家 4室2厅 南,雨花区,尚东,星城世家,153.00㎡,南,4室2厅2卫 中楼层（9层）,4500元/月,2天前维护
整租·地泰人民公馆 2室1厅 南,雨花区,东塘,地泰人民公馆,68.16㎡,南,2室1厅1卫 中楼层（33层）,3000元/月,14天前维护
合租·恒达花园北苑 3居室 南卧,芙蓉区,德政园,恒达花园北苑,15.00㎡,南,3室1厅1卫 低楼层（7层）,850元/月,12天前维护
整租·绿地之窗 1室1厅 南,雨花区,武广新城,绿地之窗,30.00㎡,南,1室1厅1卫 中楼层（26层）,1400元/月,10天前维护
整租·北辰三角洲C2区 3室2厅 南,开福区,北辰三角洲,北辰三角洲C2区,141.00㎡,南,3室2厅2卫 低楼层（54层）,4800元/月,2天前维护
合租·北辰三角洲E6区 4居室 东南卧,开福区,北辰三角洲,北辰三角洲E6区,20.00㎡,东南,4室2厅2卫 低楼层（40层）,1150元/月,3天前维护
整租·嘉宇银杉 3室2厅 南,望城区,金星北,嘉宇银杉,109.00㎡,南,3室2厅2卫 高楼层（33层）,2300元/月,2天前维护
整租·旭辉华庭 2室2厅 南,长沙县区,泉塘,旭辉华庭,60.00㎡,南,2室2厅1卫 高楼层（33层）,1600元/月,8天前维护
整租·阳光城尚东湾（学园区） 3室2厅 南/北,雨花区,武广新城,阳光城尚东湾（学园区）,131.00㎡,南 北,3室2厅2卫 高楼层（28层）,2800元/月,8天前维护
整租·日盛湖湘花苑 3室2厅 南,长沙县区,汽车东站,日盛湖湘花苑,108.00㎡,南,3室2厅1卫 低楼层（32层）,2300元/月,2天前维护
整租·珠江花城二期 2室2厅 南,开福区,福元西路,珠江花城二期,86.00㎡,南,2室2厅1卫 低楼层（18层）,2500元/月,5天前维护
合租·东方新城 4居室 南卧,芙蓉区,德政园,东方新城,20.00㎡,南,4室1厅2卫 中楼层（6层）,1200元/月,11天前维护
整租·新城和樾 1室1厅 南,开福区,金霞,新城和樾,35.00㎡,南,1室1厅1卫 低楼层（31层）,1208元/月,3天前维护
整租·菲莎公馆 1室1厅 南,芙蓉区,马王堆,菲莎公馆,40.64㎡,南,1室1厅1卫 中楼层（33层）,1800元/月,3天前维护
合租·北辰三角洲E6区 5居室 东南卧,开福区,北辰三角洲,北辰三角洲E6区,20.00㎡,东南,5室0厅2卫 中楼层（40层）,750元/月,3天前维护
合租·黄金之城 4居室 东南卧,芙蓉区,浏城桥,黄金之城,30.00㎡,东南,4室1厅2卫 中楼层（31层）,1259元/月,9天前维护
整租·龙湖新壹城 2室1厅 南,岳麓区,洋湖垸,龙湖新壹城,52.44㎡,南,2室1厅1卫 高楼层（22层）,3300元/月,5天前维护
整租·嘉盛和园 4室2厅 南,芙蓉区,汽车东站,嘉盛和园,176.00㎡,南,4室2厅2卫 高楼层（18层）,1500元/月,11天前维护
整租·龙湖新壹城 1室1厅 东南,岳麓区,洋湖垸,龙湖新壹城,39.00㎡,东南,1室1厅1卫 高楼层（22层）,3500元/月,3天前维护
整租·福天藏郡 1室1厅 北,天心区,暮云,福天藏郡,33.00㎡,北,1室1厅1卫 高楼层（18层）,1500元/月,12天前维护
整租·岳泰理想城 1室0厅 南,雨花区,德思勤,岳泰理想城,62.00㎡,南,1室0厅1卫 中楼层（20层）,2000元/月,9天前维护
整租·湘粮国际 1室1厅 南,开福区,青竹湖,湘粮国际,54.00㎡,南,1室1厅1卫 中楼层（23层）,1500元/月,9天前维护
整租·福天藏郡 1室1厅 西南,天心区,暮云,福天藏郡,36.00㎡,西南,1室1厅1卫 高楼层（18层）,1500元/月,12天前维护
整租·阳光城檀悦 1室1厅 南,开福区,松桂园,阳光城檀悦,48.00㎡,南,1室1厅1卫 中楼层（31层）,2500元/月,1天前维护
整租·长房天翼未来城 3室2厅 南,雨花区,左家塘,长房天翼未来城,150.00㎡,南,3室2厅2卫 高楼层（46层）,4300元/月,10天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·江河中央洋房 3室2厅 南,雨花区,武广新城,江河中央洋房,138.20㎡,南,3室2厅2卫 中楼层（5层）,5000元/月,13天前维护
整租·红星蔬菜批发市场 1室1厅 东南,雨花区,汽车南站,红星蔬菜批发市场,30.00㎡,东南,1室1厅1卫 中楼层（5层）,1298元/月,3天前维护
整租·南山十里天池 4室2厅 南,岳麓区,含浦,南山十里天池,143.00㎡,南,4室2厅2卫 高楼层（12层）,1500元/月,2天前维护
整租·弘坤云寓 2室1厅 北,开福区,月湖,弘坤云寓,40.00㎡,北,2室1厅1卫 低楼层（34层）,2800元/月,2天前维护
整租·绿地之窗 1室1厅 南,雨花区,武广新城,绿地之窗,30.00㎡,南,1室1厅1卫 中楼层（32层）,1400元/月,7天前维护
整租·恒大华府 3室1厅 南,岳麓区,市政府,恒大华府,89.00㎡,南,3室1厅1卫 中楼层（18层）,2300元/月,12天前维护
整租·永祺西京 3室2厅 南,岳麓区,河西步步高,永祺西京,100.00㎡,南,3室2厅2卫 低楼层（33层）,2800元/月,2天前维护
整租·保利西海岸 3室2厅 东南/南,岳麓区,银盆岭,保利西海岸,108.00㎡,东南 南,3室2厅2卫 低楼层（44层）,1800元/月,4天前维护
整租·五矿万境水岸一期 3室2厅 南/北,雨花区,喜盈门,五矿万境水岸一期,87.17㎡,南 北,3室2厅1卫 高楼层（26层）,2600元/月,5天前维护
整租·卓越青竹湖 4室1厅 南,开福区,青竹湖,卓越青竹湖,154.91㎡,南,4室1厅1卫 低楼层（4层）,2000元/月,8天前维护
整租·湘瑞家园 3室2厅 南/北,长沙县区,万家丽北,湘瑞家园,90.00㎡,南 北,3室2厅2卫 中楼层（6层）,1700元/月,7天前维护
整租·水云间 4室2厅 复式 南/北,雨花区,尚东,水云间,258.00㎡,南 北,4室2厅3卫 低楼层（3层）,8500元/月,8天前维护
整租·新城和樾 1室1厅 南,开福区,金霞,新城和樾,36.00㎡,南,1室1厅1卫 高楼层（31层）,1300元/月,2天前维护
整租·顺天北国风光 3室2厅 南,开福区,开福区政府,顺天北国风光,126.00㎡,南,3室2厅2卫 中楼层（11层）,2900元/月,10天前维护
整租·未来蜂巢 1室1厅 北,长沙县区,泉塘,未来蜂巢,39.00㎡,北,1室1厅1卫 中楼层（28层）,1250元/月,今天维护
整租·福天藏郡 1室1厅 东南,天心区,暮云,福天藏郡,37.00㎡,东南,1室1厅1卫 高楼层（18层）,1500元/月,12天前维护
整租·紫晶城 3室2厅 南,长沙县区,月湖,紫晶城,127.10㎡,南,3室2厅1卫 中楼层（18层）,1700元/月,6天前维护
整租·樱之谷 4室2厅 跃层 南,雨花区,武广新城,樱之谷,184.60㎡,南,4室2厅2卫 低楼层（3层）,7000元/月,2天前维护
整租·农科家园 1室1厅 南,芙蓉区,马王堆,农科家园,35.00㎡,南,1室1厅1卫 高楼层（7层）,1560元/月,8天前维护
整租·申湘宽境 3室2厅 南,长沙县区,中南汽车世界,申湘宽境,126.00㎡,南,3室2厅2卫 高楼层（18层）,2600元/月,7天前维护
整租·恒大绿洲 3室2厅 南/北,雨花区,武广新城,恒大绿洲,108.23㎡,南 北,3室2厅1卫 中楼层（32层）,2400元/月,13天前维护
整租·国泰九龙湾 2室1厅 南,长沙县区,松雅湖,国泰九龙湾,88.64㎡,南,2室1厅1卫 高楼层（40层）,800元/月,3天前维护
整租·钱隆世家 3室2厅 南,开福区,金霞,钱隆世家,130.00㎡,南,3室2厅2卫 中楼层（27层）,3200元/月,12天前维护
整租·富基世纪公园 3室2厅 南,望城区,金星北,富基世纪公园,110.00㎡,南,3室2厅2卫 中楼层（31层）,2200元/月,1天前维护
整租·蓝光COCO蜜城 2室1厅 南,岳麓区,洋湖垸,蓝光COCO蜜城,44.00㎡,南,2室1厅1卫 高楼层（12层）,2300元/月,5天前维护
整租·湖南省林业厅宿舍 3室2厅 南,雨花区,东塘,湖南省林业厅宿舍,85.00㎡,南,3室2厅1卫 中楼层（8层）,2600元/月,5天前维护
合租·紫薇社区 4居室 南卧,芙蓉区,马王堆,紫薇社区,20.00㎡,南,4室1厅1卫 中楼层（7层）,900元/月,10天前维护
整租·中国铁建梅溪青秀 3室2厅 南,岳麓区,梅溪湖北岸,中国铁建梅溪青秀,100.00㎡,南,3室2厅1卫 低楼层（34层）,3000元/月,2天前维护
整租·长沙雅居乐新地 3室2厅 南,芙蓉区,汽车东站,长沙雅居乐新地,95.00㎡,南,3室2厅2卫 中楼层（26层）,2500元/月,2天前维护
整租·福天藏郡 1室1厅 南/北,天心区,暮云,福天藏郡,36.00㎡,南 北,1室1厅1卫 中楼层（18层）,1300元/月,5天前维护
整租·奥克斯洋湖广场 1室1厅 南,岳麓区,洋湖垸,奥克斯洋湖广场,60.52㎡,南,1室1厅1卫 高楼层（23层）,2200元/月,5天前维护
